country,niche,product_name,competitor_price_local,landed_cost_local,target_price_local,monthly_searches,cpc_local,assumed_cvr,match_quality,competitor_source,supplier_source,score_total,gate,reason,economics_json,breakdown_json
NO,acoustic/slat wall panels,Spilepanel Ro acoustic panel 21x600x2400 oak veneer,1179.0,210.0,1084.68,700.0,6.0,0.024,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,79.31,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 1084.68, ""expected_units_per_order"": 3.0, ""order_revenue_local"": 3254.04, ""net_revenue_ex_vat"": 2603.23, ""landed_cost_local"": 210.0, ""landed_cost_order_local"": 630.0, ""payment_fee_local"": 81.35, ""expected_returns_loss_local"": 68.33, ""support_allowance_local"": 48.81, ""pre_ad_contribution_local"": 1774.74, ""expected_cpa_local"": 250.0, ""contribution_after_ads_local"": 1524.74, ""break_even_cvr"": 0.00338, ""break_even_roas"": 1.834, ""expected_roas"": 13.016, ""contribution_margin_after_ads"": 0.4686}","{""total"": 79.31, ""economics"": 35.0, ""demand"": 8.54, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 1.39, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,"Nordlux Mirano rechargeable table lamp, green",459.0,59.0,422.28,600.0,3.2800000000000002,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,79.23,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 422.28, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 633.42, ""net_revenue_ex_vat"": 506.74, ""landed_cost_local"": 59.0, ""landed_cost_order_local"": 88.5, ""payment_fee_local"": 15.84, ""expected_returns_loss_local"": 13.3, ""support_allowance_local"": 9.5, ""pre_ad_contribution_local"": 379.6, ""expected_cpa_local"": 126.15, ""contribution_after_ads_local"": 253.44, ""break_even_cvr"": 0.00864, ""break_even_roas"": 1.669, ""expected_roas"": 5.021, ""contribution_margin_after_ads"": 0.4001}","{""total"": 79.23, ""economics"": 35.0, ""demand"": 8.33, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,"Sirius Tim rechargeable table lamp, black nickel 22 cm",479.0,55.0,440.68,500.0,3.2,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,79.0,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 440.68, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 661.02, ""net_revenue_ex_vat"": 528.82, ""landed_cost_local"": 55.0, ""landed_cost_order_local"": 82.5, ""payment_fee_local"": 16.53, ""expected_returns_loss_local"": 13.88, ""support_allowance_local"": 9.92, ""pre_ad_contribution_local"": 405.99, ""expected_cpa_local"": 123.08, ""contribution_after_ads_local"": 282.92, ""break_even_cvr"": 0.00788, ""break_even_roas"": 1.628, ""expected_roas"": 5.371, ""contribution_margin_after_ads"": 0.428}","{""total"": 79.0, ""economics"": 35.0, ""demand"": 8.1, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
NO,acoustic/slat wall panels,Fibrotech acoustic panel 244 light oak,974.0,318.0,896.08,1600.0,7.2,0.024,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,78.46,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 896.08, ""expected_units_per_order"": 3.0, ""order_revenue_local"": 2688.24, ""net_revenue_ex_vat"": 2150.59, ""landed_cost_local"": 318.0, ""landed_cost_order_local"": 954.0, ""payment_fee_local"": 67.21, ""expected_returns_loss_local"": 56.45, ""support_allowance_local"": 40.32, ""pre_ad_contribution_local"": 1032.61, ""expected_cpa_local"": 300.0, ""contribution_after_ads_local"": 732.61, ""break_even_cvr"": 0.00697, ""break_even_roas"": 2.603, ""expected_roas"": 8.961, ""contribution_margin_after_ads"": 0.2725}","{""total"": 78.46, ""economics"": 33.08, ""demand"": 9.61, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 1.39, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
NO,rechargeable hospitality/table lighting,LUTEC NOMA rechargeable table lamp 2-pack,549.0,103.0,505.08,750.0,5.5600000000000005,0.026,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,74.24,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 505.08, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 757.62, ""net_revenue_ex_vat"": 606.1, ""landed_cost_local"": 103.0, ""landed_cost_order_local"": 154.5, ""payment_fee_local"": 18.94, ""expected_returns_loss_local"": 15.91, ""support_allowance_local"": 11.36, ""pre_ad_contribution_local"": 405.38, ""expected_cpa_local"": 213.85, ""contribution_after_ads_local"": 191.54, ""break_even_cvr"": 0.01372, ""break_even_roas"": 1.869, ""expected_roas"": 3.543, ""contribution_margin_after_ads"": 0.2528}","{""total"": 74.24, ""economics"": 29.21, ""demand"": 8.63, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 8.15, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
NO,rechargeable hospitality/table lighting,Northlight rechargeable LED desk lamp,480.0,91.0,441.6,550.0,5.32,0.026,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,70.63,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 441.6, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 662.4, ""net_revenue_ex_vat"": 529.92, ""landed_cost_local"": 91.0, ""landed_cost_order_local"": 136.5, ""payment_fee_local"": 16.56, ""expected_returns_loss_local"": 13.91, ""support_allowance_local"": 9.94, ""pre_ad_contribution_local"": 353.01, ""expected_cpa_local"": 204.62, ""contribution_after_ads_local"": 148.4, ""break_even_cvr"": 0.01507, ""break_even_roas"": 1.876, ""expected_roas"": 3.237, ""contribution_margin_after_ads"": 0.224}","{""total"": 70.63, ""economics"": 26.01, ""demand"": 8.22, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 8.15, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
DK,architectural/kitchen hardware,"Sala kitchen handle, matte brass",65.0,24.0,59.8,670.0,2.5,0.03,category/near-match only,https://www.kungreb.dk/da/kokkengreb/handtag-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,69.16,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 59.8, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 478.4, ""net_revenue_ex_vat"": 382.72, ""landed_cost_local"": 24.0, ""landed_cost_order_local"": 192.0, ""payment_fee_local"": 11.96, ""expected_returns_loss_local"": 10.05, ""support_allowance_local"": 7.18, ""pre_ad_contribution_local"": 161.54, ""expected_cpa_local"": 83.33, ""contribution_after_ads_local"": 78.2, ""break_even_cvr"": 0.01548, ""break_even_roas"": 2.962, ""expected_roas"": 5.741, ""contribution_margin_after_ads"": 0.1635}","{""total"": 69.16, ""economics"": 23.26, ""demand"": 8.48, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 7.65, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
DK,architectural/kitchen hardware,"Venosa handle, matte brass",69.0,27.0,63.48,750.0,2.6,0.03,category/near-match only,https://www.kungreb.dk/da/kokkengreb/handtag-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,67.18,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 63.48, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 507.84, ""net_revenue_ex_vat"": 406.27, ""landed_cost_local"": 27.0, ""landed_cost_order_local"": 216.0, ""payment_fee_local"": 12.7, ""expected_returns_loss_local"": 10.66, ""support_allowance_local"": 7.62, ""pre_ad_contribution_local"": 159.29, ""expected_cpa_local"": 86.67, ""contribution_after_ads_local"": 72.63, ""break_even_cvr"": 0.01632, ""break_even_roas"": 3.188, ""expected_roas"": 5.86, ""contribution_margin_after_ads"": 0.143}","{""total"": 67.18, ""economics"": 21.13, ""demand"": 8.63, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 7.65, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
NO,rechargeable hospitality/table lighting,"Nielsen Light Bistro rechargeable table lamp, green",571.0,139.0,525.32,1350.0,6.28,0.026,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,66.63,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 525.32, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 787.98, ""net_revenue_ex_vat"": 630.38, ""landed_cost_local"": 139.0, ""landed_cost_order_local"": 208.5, ""payment_fee_local"": 19.7, ""expected_returns_loss_local"": 16.55, ""support_allowance_local"": 11.82, ""pre_ad_contribution_local"": 373.82, ""expected_cpa_local"": 241.54, ""contribution_after_ads_local"": 132.28, ""break_even_cvr"": 0.0168, ""break_even_roas"": 2.108, ""expected_roas"": 3.262, ""contribution_margin_after_ads"": 0.1679}","{""total"": 66.63, ""economics"": 20.84, ""demand"": 9.39, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 8.15, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
NO,architectural/kitchen hardware,Beslag Design Profile 160mm brushed brass handle,104.0,42.0,95.68,650.0,4.1,0.03,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,64.88,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 95.68, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 765.44, ""net_revenue_ex_vat"": 612.35, ""landed_cost_local"": 42.0, ""landed_cost_order_local"": 336.0, ""payment_fee_local"": 19.14, ""expected_returns_loss_local"": 16.07, ""support_allowance_local"": 11.48, ""pre_ad_contribution_local"": 229.66, ""expected_cpa_local"": 136.67, ""contribution_after_ads_local"": 92.99, ""break_even_cvr"": 0.01785, ""break_even_roas"": 3.333, ""expected_roas"": 5.601, ""contribution_margin_after_ads"": 0.1215}","{""total"": 64.88, ""economics"": 18.52, ""demand"": 8.44, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,"IP54 rechargeable LED table lamp, white, touch dimmable",279.0,63.0,256.68,700.0,3.3600000000000003,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,64.03,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 256.68, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 385.02, ""net_revenue_ex_vat"": 308.02, ""landed_cost_local"": 63.0, ""landed_cost_order_local"": 94.5, ""payment_fee_local"": 9.63, ""expected_returns_loss_local"": 8.09, ""support_allowance_local"": 5.78, ""pre_ad_contribution_local"": 190.03, ""expected_cpa_local"": 129.23, ""contribution_after_ads_local"": 60.8, ""break_even_cvr"": 0.01768, ""break_even_roas"": 2.026, ""expected_roas"": 2.979, ""contribution_margin_after_ads"": 0.1579}","{""total"": 64.03, ""economics"": 19.6, ""demand"": 8.54, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,House Nordic Wigan rechargeable table lamp,319.0,79.0,293.48,1100.0,3.68,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,63.89,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 293.48, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 440.22, ""net_revenue_ex_vat"": 352.18, ""landed_cost_local"": 79.0, ""landed_cost_order_local"": 118.5, ""payment_fee_local"": 11.01, ""expected_returns_loss_local"": 9.24, ""support_allowance_local"": 6.6, ""pre_ad_contribution_local"": 206.82, ""expected_cpa_local"": 141.54, ""contribution_after_ads_local"": 65.28, ""break_even_cvr"": 0.01779, ""break_even_roas"": 2.128, ""expected_roas"": 3.11, ""contribution_margin_after_ads"": 0.1483}","{""total"": 63.89, ""economics"": 18.86, ""demand"": 9.12, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
NO,acoustic/slat wall panels,Fibrotech Quanti light oak acoustic panel,599.0,264.0,551.08,1150.0,6.6,0.024,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,60.7,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 551.08, ""expected_units_per_order"": 3.0, ""order_revenue_local"": 1653.24, ""net_revenue_ex_vat"": 1322.59, ""landed_cost_local"": 264.0, ""landed_cost_order_local"": 792.0, ""payment_fee_local"": 41.33, ""expected_returns_loss_local"": 34.72, ""support_allowance_local"": 24.8, ""pre_ad_contribution_local"": 429.74, ""expected_cpa_local"": 275.0, ""contribution_after_ads_local"": 154.74, ""break_even_cvr"": 0.01536, ""break_even_roas"": 3.847, ""expected_roas"": 6.012, ""contribution_margin_after_ads"": 0.0936}","{""total"": 60.7, ""economics"": 15.74, ""demand"": 9.18, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 1.39, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,"Nordlux Ellen rechargeable table lamp, green",319.0,87.0,293.48,1300.0,3.8400000000000003,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,60.22,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 293.48, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 440.22, ""net_revenue_ex_vat"": 352.18, ""landed_cost_local"": 87.0, ""landed_cost_order_local"": 130.5, ""payment_fee_local"": 11.01, ""expected_returns_loss_local"": 9.24, ""support_allowance_local"": 6.6, ""pre_ad_contribution_local"": 194.82, ""expected_cpa_local"": 147.69, ""contribution_after_ads_local"": 47.13, ""break_even_cvr"": 0.01971, ""break_even_roas"": 2.26, ""expected_roas"": 2.981, ""contribution_margin_after_ads"": 0.1071}","{""total"": 60.22, ""economics"": 14.98, ""demand"": 9.34, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
DK,architectural/kitchen hardware,"Barga kitchen handle, matte brass",49.0,21.0,45.08,590.0,2.4000000000000004,0.03,category/near-match only,https://www.kungreb.dk/da/kokkengreb/handtag-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,56.2,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 45.08, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 360.64, ""net_revenue_ex_vat"": 288.51, ""landed_cost_local"": 21.0, ""landed_cost_order_local"": 168.0, ""payment_fee_local"": 9.02, ""expected_returns_loss_local"": 7.57, ""support_allowance_local"": 5.41, ""pre_ad_contribution_local"": 98.51, ""expected_cpa_local"": 80.0, ""contribution_after_ads_local"": 18.51, ""break_even_cvr"": 0.02436, ""break_even_roas"": 3.661, ""expected_roas"": 4.508, ""contribution_margin_after_ads"": 0.0513}","{""total"": 56.2, ""economics"": 10.46, ""demand"": 8.31, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 7.65, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,"Nielsen Light Move Me rechargeable lamp, light grey",299.0,91.0,275.08,1400.0,3.92,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,54.41,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 275.08, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 412.62, ""net_revenue_ex_vat"": 330.1, ""landed_cost_local"": 91.0, ""landed_cost_order_local"": 136.5, ""payment_fee_local"": 10.32, ""expected_returns_loss_local"": 8.67, ""support_allowance_local"": 6.19, ""pre_ad_contribution_local"": 168.43, ""expected_cpa_local"": 150.77, ""contribution_after_ads_local"": 17.66, ""break_even_cvr"": 0.02327, ""break_even_roas"": 2.45, ""expected_roas"": 2.737, ""contribution_margin_after_ads"": 0.0428}","{""total"": 54.41, ""economics"": 9.07, ""demand"": 9.44, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
NO,architectural/kitchen hardware,Beslagsboden B54 antique brass drawer handle 96mm,37.0,46.0,34.04,720.0,4.22,0.03,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,51.74,REJECT,negative pre-ad contribution; negative contribution at current CPC/CVR assumptions; supplier match/delivered quote not yet verified,"{""target_price_local"": 34.04, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 272.32, ""net_revenue_ex_vat"": 217.86, ""landed_cost_local"": 46.0, ""landed_cost_order_local"": 368.0, ""payment_fee_local"": 6.81, ""expected_returns_loss_local"": 5.72, ""support_allowance_local"": 4.08, ""pre_ad_contribution_local"": -166.76, ""expected_cpa_local"": 140.67, ""contribution_after_ads_local"": -307.42, ""break_even_cvr"": 0.0, ""break_even_roas"": Infinity, ""expected_roas"": 1.936, ""contribution_margin_after_ads"": -1.1289}","{""total"": 51.74, ""economics"": 5.25, ""demand"": 8.57, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 3.53, ""gate"": ""REJECT"", ""reason"": ""negative pre-ad contribution; negative contribution at current CPC/CVR assumptions; supplier match/delivered quote not yet verified""}"
NO,acoustic/slat wall panels,Fibrotech Square light oak acoustic panel 2-pack,399.0,300.0,367.08,1450.0,7.0,0.024,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,50.51,REJECT,negative pre-ad contribution; negative contribution at current CPC/CVR assumptions; supplier match/delivered quote not yet verified,"{""target_price_local"": 367.08, ""expected_units_per_order"": 3.0, ""order_revenue_local"": 1101.24, ""net_revenue_ex_vat"": 880.99, ""landed_cost_local"": 300.0, ""landed_cost_order_local"": 900.0, ""payment_fee_local"": 27.53, ""expected_returns_loss_local"": 23.13, ""support_allowance_local"": 16.52, ""pre_ad_contribution_local"": -86.18, ""expected_cpa_local"": 291.67, ""contribution_after_ads_local"": -377.85, ""break_even_cvr"": 0.0, ""break_even_roas"": Infinity, ""expected_roas"": 3.776, ""contribution_margin_after_ads"": -0.3431}","{""total"": 50.51, ""economics"": 5.25, ""demand"": 9.48, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 1.39, ""gate"": ""REJECT"", ""reason"": ""negative pre-ad contribution; negative contribution at current CPC/CVR assumptions; supplier match/delivered quote not yet verified""}"
NO,acoustic/slat wall panels,Fibrotech Square black oak acoustic panel 2-pack,400.0,282.0,368.0,1300.0,6.8,0.024,category/near-match only,https://www.prisjakt.no/s/akustikkpanel/,https://www.alibaba.com/showroom/wood-slat-acoustic-wall-panels.html,50.37,REJECT,negative pre-ad contribution; negative contribution at current CPC/CVR assumptions; supplier match/delivered quote not yet verified,"{""target_price_local"": 368.0, ""expected_units_per_order"": 3.0, ""order_revenue_local"": 1104.0, ""net_revenue_ex_vat"": 883.2, ""landed_cost_local"": 282.0, ""landed_cost_order_local"": 846.0, ""payment_fee_local"": 27.6, ""expected_returns_loss_local"": 23.18, ""support_allowance_local"": 16.56, ""pre_ad_contribution_local"": -30.14, ""expected_cpa_local"": 283.33, ""contribution_after_ads_local"": -313.48, ""break_even_cvr"": 0.0, ""break_even_roas"": Infinity, ""expected_roas"": 3.896, ""contribution_margin_after_ads"": -0.2839}","{""total"": 50.37, ""economics"": 5.25, ""demand"": 9.34, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 1.39, ""gate"": ""REJECT"", ""reason"": ""negative pre-ad contribution; negative contribution at current CPC/CVR assumptions; supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,"Veli Line Shine rechargeable table lamp, green",109.0,75.0,100.28,1000.0,3.6,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,50.15,REJECT,negative pre-ad contribution; negative contribution at current CPC/CVR assumptions; product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 100.28, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 150.42, ""net_revenue_ex_vat"": 120.34, ""landed_cost_local"": 75.0, ""landed_cost_order_local"": 112.5, ""payment_fee_local"": 3.76, ""expected_returns_loss_local"": 3.16, ""support_allowance_local"": 2.26, ""pre_ad_contribution_local"": -1.34, ""expected_cpa_local"": 138.46, ""contribution_after_ads_local"": -139.8, ""break_even_cvr"": 0.0, ""break_even_roas"": Infinity, ""expected_roas"": 1.086, ""contribution_margin_after_ads"": -0.9294}","{""total"": 50.15, ""economics"": 5.25, ""demand"": 9.0, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""REJECT"", ""reason"": ""negative pre-ad contribution; negative contribution at current CPC/CVR assumptions; product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
NO,architectural/kitchen hardware,Beslag Design Bror 160 brushed brass handle,66.0,30.0,60.72,440.0,3.74,0.03,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,49.97,RESEARCH,negative contribution at current CPC/CVR assumptions; supplier match/delivered quote not yet verified,"{""target_price_local"": 60.72, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 485.76, ""net_revenue_ex_vat"": 388.61, ""landed_cost_local"": 30.0, ""landed_cost_order_local"": 240.0, ""payment_fee_local"": 12.14, ""expected_returns_loss_local"": 10.2, ""support_allowance_local"": 7.29, ""pre_ad_contribution_local"": 118.98, ""expected_cpa_local"": 124.67, ""contribution_after_ads_local"": -5.69, ""break_even_cvr"": 0.03143, ""break_even_roas"": 4.083, ""expected_roas"": 3.896, ""contribution_margin_after_ads"": -0.0117}","{""total"": 49.97, ""economics"": 4.11, ""demand"": 7.93, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""negative contribution at current CPC/CVR assumptions; supplier match/delivered quote not yet verified""}"
NO,architectural/kitchen hardware,Beslag Design Profile 40mm brushed brass handle,53.0,34.0,48.76,510.0,3.86,0.03,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,46.05,RESEARCH,negative contribution at current CPC/CVR assumptions; requires >4% break-even CVR; supplier match/delivered quote not yet verified,"{""target_price_local"": 48.76, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 390.08, ""net_revenue_ex_vat"": 312.06, ""landed_cost_local"": 34.0, ""landed_cost_order_local"": 272.0, ""payment_fee_local"": 9.75, ""expected_returns_loss_local"": 8.19, ""support_allowance_local"": 5.85, ""pre_ad_contribution_local"": 16.27, ""expected_cpa_local"": 128.67, ""contribution_after_ads_local"": -112.4, ""break_even_cvr"": 0.23726, ""break_even_roas"": 23.977, ""expected_roas"": 3.032, ""contribution_margin_after_ads"": -0.2881}","{""total"": 46.05, ""economics"": 0.0, ""demand"": 8.12, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""negative contribution at current CPC/CVR assumptions; requires >4% break-even CVR; supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,"1W rechargeable LED table lamp, French Gold",235.0,103.0,216.2,1700.0,4.16,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,45.59,COMPLIANCE_REVIEW,negative contribution at current CPC/CVR assumptions; requires >4% break-even CVR; product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 216.2, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 324.3, ""net_revenue_ex_vat"": 259.44, ""landed_cost_local"": 103.0, ""landed_cost_order_local"": 154.5, ""payment_fee_local"": 8.11, ""expected_returns_loss_local"": 6.81, ""support_allowance_local"": 4.86, ""pre_ad_contribution_local"": 85.16, ""expected_cpa_local"": 160.0, ""contribution_after_ads_local"": -74.84, ""break_even_cvr"": 0.04885, ""break_even_roas"": 3.808, ""expected_roas"": 2.027, ""contribution_margin_after_ads"": -0.2308}","{""total"": 45.59, ""economics"": 0.0, ""demand"": 9.69, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""negative contribution at current CPC/CVR assumptions; requires >4% break-even CVR; product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
